Path object_type object_name object_size parent_directory
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\dd" File 402015501fdc2407147dc4d9a692caf5d21ad8 2576 dd
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\de" File b40deadb0c37cbb677e414dd7ac6bfae038823 128 de
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\df" File e97cf49b016d4618e45e4af06d4705c6a0cd25 77 df
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\e0" File d1ee1025fb5d7e5be0c373dfe075e4be4170f9 281 e0
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\e3" File 538c3c9f957e734dc3889695a550affd615408 103 e3
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\e9" File 950fbd87399371aa797f8c589f9ec35994d8b6 1290 e9
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\eb" File bbe2c68247bf1282589a9dac975740afc9ccf8 1312 eb
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\ee" File a7b75a0b36a327a65d787ac4595b996ac5f91a 2493 ee
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\f4" File f6f51bd78c25e71a2a5f19d52dd013b3b58a91 1925 f4
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\fc" File adbec01c97a9fb310b4f157ab539c3df07e495 3133 fc
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\fe" File c7d18495643fb40a85b0281d3298518fa30455 210 fe
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\ff" File 1e7af2ab4fe49590f9c2a7638b924831d7f428 547 ff
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\refs" Directory tags 0 refs
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\refs\heads" File main 41 heads
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\refs\remotes" Directory origin 41 remotes
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\refs\remotes\origin" File main 41 origin
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_1" File task_2.py 1954 homework_1
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_2" File task_3.py 2252 homework_2
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_3" File Task_3.py 2244 homework_3
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_4" File Task_3.py 3451 homework_4
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_5" File Task_3.py 280 homework_5
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_6" Directory __pycache__ 1786 homework_6
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_6\add_task" File module_add_task.py 1005 add_task
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_6\main_task" Directory __pycache__ 3035 main_task
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_6\main_task\__pycache__" File portfolio.cpython-311.pyc 3035 __pycache__
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_6\Task_1" File Task_1.py 340 Task_1
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_6\__pycache__" File module_task_1.cpython-311.pyc 1786 __pycache__
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_7" File main.py 629 homework_7
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_7\files_manager" Directory __pycache__ 11592 files_manager
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_7\files_manager\__pycache__" File group_rename.cpython-311.pyc 2296 __pycache__
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_8" File task_homework.py 3589 homework_8
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_8\file_manager" Directory __pycache__ 15876 file_manager
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\homework_8\file_manager\__pycache__" File txt_to_json.cpython-311.pyc 1338 __pycache__
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\new" File zetfn.txt 271 new
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\package_sem_6" Directory __pycache__ 5911 package_sem_6
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\package_sem_6\__pycache__" File __init__.cpython-311.pyc 854 __pycache__
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\rezult" Directory Videos 45954 rezult
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\rezult\Archive" File YOF.rar 1908 Archive
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\rezult\Photos" File xXdxH.jpg 2006 Photos
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\rezult\Videos" File ZoFcS.avi 3208 Videos
