object_name,path,object_size,object_type,parent_directory
a5a42d682fab5f070f8c386402a86936ab39df,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\70,545,file,70
2dd34243905c00db27303dec9495fc409cc6ad,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\72,2032,file,72
550ca971565be4961846ac3af61ca86cc795a2,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\72,654,file,72
4a3b7678ec033e5c11ba8005b0f91ce0eac0ab,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\73,430,file,73
d3fff3aadc4a0d6e27545810fde3535bd1b39b,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\73,74,file,73
efc7573625e932220faca9763dc8cd9c266829,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\73,4001,file,73
9ca9affaaf3ff6eefa5cbb536855735b640be9,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\74,1092,file,74
e79b81aaf1752c69517b3e81d871b2c9d3484b,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\76,2355,file,76
3cdf8bef64f92bed88940f12a6c97268009a77,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\77,322,file,77
6396fb77679c5ea544d467aabb7d218ce95917,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\79,173,file,79
